,count,mean,std,min,25%,50%,75%,max
buyers_new_mean,111.0,0.61205869070521,0.34601987203076967,0.024793388429752067,0.41346153846153844,0.5333333333333333,0.7387914230019492,2.3333333333333335
buyers_new_std,111.0,1.7458863727966647,1.3142211803919759,0.20260017758117307,0.7227152240736938,1.3238162000204936,2.2994171083445094,6.417565935026917
buyers_new_min,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
buyers_new_max,111.0,10.414414414414415,12.081141177636,1.0,2.0,6.0,13.5,66.0
buyers_new_median,111.0,0.07207207207207207,0.2508788810167427,0.0,0.0,0.0,0.0,1.5
buyers_new_last_value,111.0,0.018018018018018018,0.13361967614920287,0.0,0.0,0.0,0.0,1.0
buyers_new_kurtosis,102.0,26.27914370290536,29.80450023022572,-6.0,4.0,12.630316263042562,43.970600694470534,114.76955083818781
buyers_new_skewness,107.0,4.043726149493142,2.834724443036601,-1.2296340919151518,1.90839941257448,3.325848389454009,6.218216882234314,10.591065050039315
buyers_new_autocorrelation,92.0,0.20819588999149594,0.29933413879744425,-0.3859224924939798,-0.05302232788301019,0.1754855588110834,0.429356177707639,0.8703882797784891
buyers_new_z_score,111.0,-0.4392896962743331,0.2600521534447885,-1.4638501094228,-0.5795126599683684,-0.3806853282935643,-0.24067613089558948,0.44271887242357316
buyers_new_change,111.0,-10.27927927927928,12.143214469721666,-66.0,-13.5,-6.0,-2.0,-1.0
buyers_new_pct_change,111.0,-0.9979407979407979,0.019151466066412205,-1.0,-1.0,-1.0,-1.0,-0.8
buyers_repeat_mean,111.0,0.45802389944931793,0.39289278629438223,0.0,0.17424242424242425,0.4,0.6411960132890366,1.7912087912087913
buyers_repeat_std,111.0,0.5652678864697119,0.39211509030476405,0.0,0.3905386802120774,0.5188745216627709,0.717930805981342,1.9648459148306132
buyers_repeat_min,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
buyers_repeat_max,111.0,2.1171171171171173,2.2268556663794263,0.0,1.0,2.0,3.0,15.0
buyers_repeat_median,111.0,0.28378378378378377,0.44528653503120696,0.0,0.0,0.0,1.0,1.0
buyers_repeat_last_value,111.0,0.2072072072072072,0.6483141370595124,0.0,0.0,0.0,0.0,5.0
buyers_repeat_kurtosis,102.0,1.6616984697252917,4.364498624206585,-3.333333333333335,-0.40590815183495266,0.5326908471487135,2.3148702134213885,27.999999999999982
buyers_repeat_skewness,107.0,1.1554989174698722,0.9530962148693639,-0.49426729102460254,0.5278107620455589,1.0631103843548817,1.6361048539253917,5.29150262212918
